dataset,image_name,path,width,height,original_label,binary,superclass,subclass,acquisition_type,anatom_site,split,channels,is_rgb,is_corrupt,age,sex,fitzpatrick,diagnosis_method,clinical_diagnosis,dermoscopic_diagnosis,histological_diagnosis,asymmetry,color_white,color_red,color_light_brown,color_dark_brown,color_blue_gray,color_black,phash,license,blur,md5
Synth,02c82c78ab8016249c74bb77f0bb105f_ITA-109.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/02c82c78ab8016249c74bb77f0bb105f_ITA-109.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,,,,
Synth,02dbebd0b19c14f427ffd445afdd923b_ITA-28.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/02dbebd0b19c14f427ffd445afdd923b_ITA-28.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,,,,
Synth,02de76a051b4602b7354cbd217195db2_ITA-42.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/02de76a051b4602b7354cbd217195db2_ITA-42.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,,,,
Synth,0314d88201c6105f9cf091c84bcd0d9f_ITA-38.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/0314d88201c6105f9cf091c84bcd0d9f_ITA-38.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,,,,
Synth,03df0a5474151deba054565452647f78_ITA-101.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/03df0a5474151deba054565452647f78_ITA-101.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,,,,
Synth,05dacc9ac4d694efceac29970e9bbca1_ITA-126.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/05dacc9ac4d694efceac29970e9bbca1_ITA-126.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,,,,
Synth,068f89b64ab961066d579b19e78fb07c_ITA-146.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/068f89b64ab961066d579b19e78fb07c_ITA-146.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,,,,
Synth,07372d729c011eba2e09899b06ef92e1_ITA-96.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/07372d729c011eba2e09899b06ef92e1_ITA-96.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,,,,
Synth,079b9410b91f16eae9172d02ae78588c_ITA-103.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/079b9410b91f16eae9172d02ae78588c_ITA-103.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,,,,
Synth,07a0729cda0dd8df65449ef8556fd5c4_ITA-75.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/07a0729cda0dd8df65449ef8556fd5c4_ITA-75.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,,,,
