dataset,image_name,path,width,height,original_label,binary,superclass,subclass,acquisition_type,anatom_site,split,channels,is_rgb,is_corrupt,age,sex,fitzpatrick,diagnosis_method,clinical_diagnosis,dermoscopic_diagnosis,histological_diagnosis,asymmetry,color_white,color_red,color_light_brown,color_dark_brown,color_blue_gray,color_black,phash,license,blur,md5,dup_group_id
Synth,02c82c78ab8016249c74bb77f0bb105f_ITA-109.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/02c82c78ab8016249c74bb77f0bb105f_ITA-109.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,17216294302413622321,,1419.4252822985873,2c734e083a2ca700e40b01f0e1ab6011,
Synth,02dbebd0b19c14f427ffd445afdd923b_ITA-28.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/02dbebd0b19c14f427ffd445afdd923b_ITA-28.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,13071628228534808935,,391.1105299582705,fb5846d3d7568f185a28faac1718e03b,
Synth,02de76a051b4602b7354cbd217195db2_ITA-42.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/02de76a051b4602b7354cbd217195db2_ITA-42.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,12029273552090905852,,746.2700099349022,90aab1a7c80dab0e1eb927480a95ca6a,
Synth,0314d88201c6105f9cf091c84bcd0d9f_ITA-38.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/0314d88201c6105f9cf091c84bcd0d9f_ITA-38.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,13214354188151579554,,687.2656748285517,24f112003203b30f2eced1d8c772944e,
Synth,03df0a5474151deba054565452647f78_ITA-101.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/03df0a5474151deba054565452647f78_ITA-101.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,13487102965698481295,,1215.8086905842647,124ae9fa2d58d414c133db0d36d713cb,
Synth,05dacc9ac4d694efceac29970e9bbca1_ITA-126.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/05dacc9ac4d694efceac29970e9bbca1_ITA-126.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,10348165987697586823,,1198.9807705283165,04e179dfcd7b368aabe18e9a72de7b2b,
Synth,068f89b64ab961066d579b19e78fb07c_ITA-146.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/068f89b64ab961066d579b19e78fb07c_ITA-146.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,13131020698738124319,,640.1935330992565,bcc8c33f79d1289884b0701f61353bde,
Synth,07372d729c011eba2e09899b06ef92e1_ITA-96.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/07372d729c011eba2e09899b06ef92e1_ITA-96.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,17180530751650816621,,556.7397941015661,c7ebadead304b67d0917dcf8fae33456,
Synth,079b9410b91f16eae9172d02ae78588c_ITA-103.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/079b9410b91f16eae9172d02ae78588c_ITA-103.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,17089336407495805254,,1390.7747272169215,a3b56e3deadb20df34093f538be1cb7c,
Synth,07a0729cda0dd8df65449ef8556fd5c4_ITA-75.png,/home/marsi/TFM/data/gen/SD_E2_HOPE/v1_8000/07a0729cda0dd8df65449ef8556fd5c4_ITA-75.png,284,284,,1,melanoma,,,,train,3,1,0,,,,,,,,,,,,,,,9781027438396456786,,4909.66036772728,6decef889beb8a9a21705646ce86044e,
