dataset,original_label,binary,superclass,,
HAM10000,akiec,0,actinic_keratosis_bowen,,
HAM10000,bcc,0,basal_cell_carcinoma,,
HAM10000,bkl,0,benign_keratosis,,
HAM10000,df,0,dermatofibroma,,
HAM10000,nv,0,melanocytic_nevus,,
HAM10000,mel,1,melanoma,,
HAM10000,vasc,0,vascular_lesion,,
ISIC2019,MEL,1,melanoma,,
ISIC2019,NV,0,melanocytic_nevus,,
ISIC2019,BCC,0,basal_cell_carcinoma,,
ISIC2019,AK,0,actinic_keratosis_bowen,,
ISIC2019,BKL,0,benign_keratosis,,
ISIC2019,DF,0,dermatofibroma,,
ISIC2019,VASC,0,vascular_lesion,,
ISIC2019,SCC,0,other,,
PH2,Common Nevus,0,melanocytic_nevus,,
PH2,Atypical Nevus,0,melanocytic_nevus,,
PH2,Melanoma,1,melanoma,,
DERM12345,Angiokeratoma,0,vascular_lesion,,
DERM12345,Basal cell carcinoma,0,basal_cell_carcinoma,,
DERM12345,Dermatofibroma,0,dermatofibroma,,
DERM12345,Dermatofibrosarcoma protuberans,0,other,,
DERM12345,Hemangioma,0,vascular_lesion,,
DERM12345,Ink-spot lentigo,0,benign_keratosis,,
DERM12345,Kaposi sarcoma,0,vascular_lesion,,
DERM12345,Lentigo simplex,0,benign_keratosis,,
DERM12345,Lichen planus like keratosis,0,benign_keratosis,,
DERM12345,Lymphangioma,0,vascular_lesion,,
DERM12345,Melanoma Invasive,1,melanoma,,
DERM12345,Melanoma in situ,1,melanoma,,
DERM12345,"Melanoma, NOS",1,melanoma,,
DERM12345,Nevus,0,melanocytic_nevus,,
DERM12345,Paget disease,0,other,,
DERM12345,Pyogenic granuloma,0,vascular_lesion,,
DERM12345,Seborrheic keratosis,0,benign_keratosis,,
DERM12345,Solar lentigo,0,benign_keratosis,,
DERM12345,Solar or actinic keratosis,0,actinic_keratosis_bowen,,
DERM12345,Squamous cell carcinoma in situ,0,actinic_keratosis_bowen,,
DERM12345,"Squamous cell carcinoma, NOS",0,other,,
DERM12345,Vascular spider,0,vascular_lesion,,
