split,superclass_report,count,total_split,percent_in_split
test,actinic_keratosis_bowen,573,12828,4.47
test,basal_cell_carcinoma,2078,12828,16.2
test,benign_keratosis,1362,12828,10.62
test,dermatofibroma,91,12828,0.71
test,melanocytic_nevus,5197,12828,40.51
test,melanoma,3082,12828,24.03
test,other,360,12828,2.81
test,vascular_lesion,85,12828,0.66
test_control,melanocytic_nevus,160,200,80.0
test_control,melanoma,40,200,20.0
test_fairness,actinic_keratosis_bowen,105,14165,0.74
test_fairness,basal_cell_carcinoma,513,14165,3.62
test_fairness,benign_keratosis,65,14165,0.46
test_fairness,dermatofibroma,75,14165,0.53
test_fairness,melanocytic_nevus,212,14165,1.5
test_fairness,melanoma,493,14165,3.48
test_fairness,other,11551,14165,81.55
test_fairness,other_malignant,308,14165,2.17
test_fairness,squamous_cell_carcinoma,460,14165,3.25
test_fairness,vascular_lesion,383,14165,2.7
train,actinic_keratosis_bowen,361,18992,1.9
train,basal_cell_carcinoma,794,18992,4.18
train,benign_keratosis,1479,18992,7.79
train,dermatofibroma,253,18992,1.33
train,melanocytic_nevus,14217,18992,74.86
train,melanoma,1293,18992,6.81
train,other,233,18992,1.23
train,unknown,11,18992,0.06
train,vascular_lesion,351,18992,1.85
val,actinic_keratosis_bowen,39,2100,1.86
val,basal_cell_carcinoma,87,2100,4.14
val,benign_keratosis,163,2100,7.76
val,dermatofibroma,27,2100,1.29
val,melanocytic_nevus,1578,2100,75.14
val,melanoma,142,2100,6.76
val,other,25,2100,1.19
val,unknown,1,2100,0.05
val,vascular_lesion,38,2100,1.81
