class,beta,weight
actinic_keratosis_bowen,0.9,0.9999999999975635
basal_cell_carcinoma,0.9,0.9999999999975635
benign_keratosis,0.9,0.9999999999975635
dermatofibroma,0.9,1.000000000000214
melanocytic_nevus,0.9,0.9999999999975635
melanoma,0.9,0.9999999999975635
other,0.9,1.0000000000044051
vascular_lesion,0.9,0.9999999999975636
actinic_keratosis_bowen,0.95,0.9999992583531803
basal_cell_carcinoma,0.95,0.9999992492703502
benign_keratosis,0.95,0.9999992492703502
dermatofibroma,0.95,1.000001561722827
melanocytic_nevus,0.95,0.9999992492703502
melanoma,0.95,0.9999992492703502
other,0.95,1.0000029183822579
vascular_lesion,0.95,0.9999992644403347
actinic_keratosis_bowen,0.99,0.9976749491529697
basal_cell_carcinoma,0.99,0.9715044912670351
benign_keratosis,0.99,0.9711723332598162
dermatofibroma,0.99,1.0540761319207281
melanocytic_nevus,0.99,0.9711719930482209
melanoma,0.99,0.9711741990392943
other,0.99,1.0626640681584558
vascular_lesion,0.99,1.0005618340563631
actinic_keratosis_bowen,0.999,1.241239005122771
basal_cell_carcinoma,0.999,0.6864546810657444
benign_keratosis,0.999,0.48721508713637224
dermatofibroma,0.999,1.6825875601984999
melanocytic_nevus,0.999,0.37627798032233417
melanoma,0.999,0.5184807923818958
other,0.999,1.7371367370594326
vascular_lesion,0.999,1.2706081563366727
actinic_keratosis_bowen,0.9995,1.2932545655353884
basal_cell_carcinoma,0.9995,0.6518307315962473
benign_keratosis,0.9995,0.4086697044578886
dermatofibroma,0.9995,1.7973879881182173
melanocytic_nevus,0.9995,0.21380086460548633
melanoma,0.9995,0.44859811562113533
other,0.9995,1.859582126110777
vascular_lesion,0.9995,1.3268759035276092
actinic_keratosis_bowen,0.9999,1.3378812347190279
basal_cell_carcinoma,0.9999,0.6214650436517613
benign_keratosis,0.9999,0.3450346030650995
dermatofibroma,0.9999,1.8987637687451044
melanocytic_nevus,0.9999,0.06252486028989429
melanoma,0.9999,0.39109876033221824
other,0.9999,1.9679180002655043
vascular_lesion,0.9999,1.3753137284570063
