class,gamma,importance_score
actinic_keratosis_bowen,1.0,2.304350650695686
basal_cell_carcinoma,1.0,0.9592001477195814
benign_keratosis,1.0,1.2799143075172552
dermatofibroma,1.0,0.47550092801780636
melanocytic_nevus,1.0,0.026441829168478884
melanoma,1.0,1.8760520765251856
other,1.0,0.740684137811112
vascular_lesion,1.0,0.3378559225425895
actinic_keratosis_bowen,1.5,2.908628360828305
basal_cell_carcinoma,1.5,0.7811406540067866
benign_keratosis,1.5,1.20402838712837
dermatofibroma,1.5,0.2726417990604046
melanocytic_nevus,1.5,0.003575218822954444
melanoma,1.5,2.136646717443894
other,1.5,0.5300476967129303
vascular_lesion,1.5,0.1632911659934467
actinic_keratosis_bowen,2.0,3.4600342864701545
basal_cell_carcinoma,2.0,0.5995173339514006
benign_keratosis,2.0,1.0674438962036008
dermatofibroma,2.0,0.14732824254238697
melanocytic_nevus,2.0,0.00045558168932511455
melanoma,2.0,2.293364310552782
other,2.0,0.3574780322325236
vascular_lesion,2.0,0.07437831635436486
actinic_keratosis_bowen,2.5,3.948806317866085
basal_cell_carcinoma,2.5,0.44143575870554375
benign_keratosis,2.5,0.9079180550821091
dermatofibroma,2.5,0.07637880165306124
melanocytic_nevus,2.5,5.5695890965136366e-05
melanoma,2.5,2.361601641716851
other,2.5,0.23130074320881136
vascular_lesion,2.5,0.03250298587262444
