split,superclass_report,count,total_split,percent_in_split
test,actinic_keratosis_bowen,598,13269,4.51
test,basal_cell_carcinoma,2212,13269,16.67
test,benign_keratosis,1391,13269,10.48
test,dermatofibroma,96,13269,0.72
test,melanocytic_nevus,5378,13269,40.53
test,melanoma,3132,13269,23.6
test,other,371,13269,2.8
test,vascular_lesion,91,13269,0.69
test_control,melanocytic_nevus,160,200,80.0
test_control,melanoma,40,200,20.0
train,actinic_keratosis_bowen,367,19137,1.92
train,basal_cell_carcinoma,801,19137,4.19
train,benign_keratosis,1498,19137,7.83
train,dermatofibroma,258,19137,1.35
train,melanocytic_nevus,14305,19137,74.75
train,melanoma,1307,19137,6.83
train,other,234,19137,1.22
train,unknown,11,19137,0.06
train,vascular_lesion,356,19137,1.86
val,actinic_keratosis_bowen,40,2119,1.89
val,basal_cell_carcinoma,88,2119,4.15
val,benign_keratosis,165,2119,7.79
val,dermatofibroma,28,2119,1.32
val,melanocytic_nevus,1588,2119,74.94
val,melanoma,145,2119,6.84
val,other,26,2119,1.23
val,unknown,1,2119,0.05
val,vascular_lesion,38,2119,1.79
